x,y,label,img_path
-22.501549,-9.36905,"['parkinglot', 'naturereserve', 'bridge', 'wetland', 'highway', 'river', 'forest', 'beach', 'cemetery', 'pond', 'residential', 'supermarket', 'railroad', 'park', 'school', 'warehouse', 'airport', 'dam', 'religious', 'farmland']",assets/00383_44.483642_-73.165888_8_37_15.png
5.5506015,-1.515566,"['swimming', 'parkinglot', 'park', 'highway', 'river', 'forest', 'bridge', 'farmland', 'residential', 'garden', 'wetland', 'cemetery', 'religious', 'tennis', 'skate', 'pond', 'school', 'supermarket', 'commercialarea', 'soccer', 'baseball']",assets/00134_44.159998_-73.249074_3_38_37_19_34_4_24.png
5.783344,-0.14890239,"['residential', 'parkinglot', 'highway', 'river', 'forest', 'bridge', 'farmland', 'garden', 'swimming', 'wetland', 'cemetery', 'religious', 'tennis', 'skate', 'pond', 'school']",assets/01397_44.154992_-73.246456_19_34_37_22_3.png
-25.200304,-10.2489605,"['tennis', 'highway', 'railroad', 'parkinglot', 'airport', 'forest', 'park', 'religious', 'bridge', 'school', 'roundabout', 'river']",assets/00106_34.743629_-92.241734_0_27_8.png
1.6539385,-5.961842,"['sand', 'bridge', 'park', 'residential', 'river', 'swimming', 'baseball', 'parkinglot', 'school', 'pond', 'golf', 'dam']",assets/03210_43.626083_-72.991564_28_27_6.png
-21.650196,5.884016,"['cemetery', 'parkinglot', 'highway', 'religious', 'commercialarea', 'residential', 'supermarket', 'school']",assets/00574_33.451766_-94.039316_4_37.png
25.948053,1.1585835,"['naturereserve', 'forest', 'highway', 'river']",assets/02915_44.29208_-73.175091_26_24.png
-16.240278,7.6694417,"['parkinglot', 'school', 'religious', 'forest', 'highway', 'farmland', 'tennis', 'swimming', 'bridge', 'park', 'supermarket', 'residential', 'commercialarea', 'pond', 'baseball', 'soccer']",assets/01291_35.252605_-91.76162_8_0_10.png
-15.695262,7.1817865,"['tennis', 'school', 'religious', 'parkinglot', 'forest', 'highway', 'farmland', 'swimming', 'bridge', 'park', 'supermarket', 'residential', 'commercialarea', 'pond', 'baseball', 'soccer']",assets/00107_35.25391_-91.761634_0_8_10_12.png
-19.904352,6.1617336,"['parkinglot', 'railroad', 'highway', 'baseball', 'bridge', 'school', 'residential', 'park', 'tennis', 'amfootball', 'forest', 'religious']",assets/01264_33.439243_-94.022159_8_37_10_2.png
22.666943,-0.96651226,"['farmland', 'highway', 'river', 'residential', 'pond', 'forest', 'parkinglot', 'wetland', 'swimming', 'religious', 'park', 'bridge', 'cemetery']",assets/01930_43.786428_-72.253127_22_38_24_19.png
-15.843528,-6.472614,"['baseball', 'railroad', 'highway', 'equestrian', 'park', 'parkinglot', 'supermarket']",assets/02388_36.256675_-90.285897_12_30_27_8.png
18.275625,6.0206556,"['farmland', 'highway', 'river', 'forest', 'cemetery', 'residential', 'wetland', 'railroad', 'bridge', 'parkinglot']",assets/01990_45.011354_-71.809649_22_24.png
-3.3590515,13.590724,"['parkinglot', 'sand', 'highway', 'golf', 'forest', 'tennis']",assets/01443_33.585504_-92.870164_8_28_6_37_0.png
-23.881289,4.739972,"['parkinglot', 'railroad', 'highway', 'religious', 'residential', 'cemetery', 'bridge', 'amfootball', 'baseball', 'park', 'tennis', 'school', 'pond', 'garden', 'commercialarea', 'garage', 'forest']",assets/01234_34.737576_-92.299949_8_12_10_37.png
-13.178252,6.8500195,"['baseball', 'railroad', 'highway', 'parkinglot', 'religious', 'park', 'soccer', 'residential', 'swimming', 'supermarket', 'sand', 'commercialarea', 'golf', 'amfootball', 'tennis', 'pond', 'forest']",assets/01894_36.193233_-94.524268_12_37_27_8_36.png
-13.354228,11.20967,"['tennis', 'highway', 'naturereserve', 'amfootball', 'pond', 'soccer', 'park', 'school', 'parkinglot']",assets/00223_36.298191_-94.151225_0_2_29_27_10.png
